Timestamp,Download (Mbps),Upload (Mbps)
2024-01-25T10:22:41,414.1,34.19
2024-01-25T10:23:25,320.16,33.56
2024-01-25T10:24:07,79.03,34.21
2024-01-25T10:24:50,391.29,34.55
2024-01-25T10:25:32,453.42,35.1
2024-01-25T10:26:12,470.78,33.63
2024-01-25T10:26:53,365.49,32.72
2024-01-25T10:27:35,381.25,31.84
2024-01-25T10:28:15,428.98,33.0
2024-01-25T10:28:54,427.79,33.81
2024-01-25T10:29:34,470.87,33.68
2024-01-25T10:30:16,364.64,32.1
2024-01-25T10:30:58,417.08,33.77
2024-01-25T10:31:39,388.82,34.94
2024-01-25T10:32:21,428.61,35.49
2024-01-25T10:33:04,408.0,34.66
2024-01-25T10:33:46,371.15,35.54
2024-01-25T10:34:29,427.57,33.77
2024-01-25T10:35:13,351.6,35.05
2024-01-25T10:35:57,396.69,35.07
2024-01-25T10:36:39,83.38,35.51
2024-01-25T10:37:20,385.52,34.01
2024-01-25T10:38:01,408.36,35.21
2024-01-25T10:38:44,359.46,35.01
2024-01-25T10:39:24,386.76,34.07
2024-01-25T10:40:07,387.85,34.95
2024-01-25T10:40:49,434.52,32.93
2024-01-25T10:41:32,326.66,34.54
2024-01-25T10:42:12,408.94,32.39
2024-01-25T10:42:55,430.52,34.73
2024-01-25T10:43:36,383.3,32.62
2024-01-25T10:44:15,479.67,32.6
2024-01-25T10:44:59,80.72,33.2
2024-01-25T10:45:43,348.76,34.96
2024-01-25T10:46:23,413.53,34.43
2024-01-25T10:47:06,384.13,34.29
2024-01-25T10:47:45,471.81,35.53
2024-01-25T10:48:29,342.65,34.08
2024-01-25T10:49:14,299.94,35.13
2024-01-25T10:49:58,322.74,35.61
2024-01-25T10:50:40,85.37,35.64
2024-01-25T10:51:22,344.08,34.73
2024-01-25T10:52:04,393.47,34.66
2024-01-25T10:52:46,449.92,34.67
2024-01-25T10:53:28,361.48,35.38
2024-01-25T10:54:10,392.03,35.4
2024-01-25T10:54:52,478.26,35.67
2024-01-25T10:55:32,420.04,34.94
2024-01-25T10:56:15,406.9,34.41
2024-01-25T10:56:56,398.94,35.36
2024-01-25T10:57:39,100.59,34.61
2024-01-25T10:58:22,339.01,35.45
2024-01-25T10:59:04,82.11,35.84
2024-01-25T10:59:48,386.98,32.85
2024-01-25T11:01:19,366.41,33.97
2024-01-25T11:02:57,318.05,35.52
2024-01-25T11:16:30,398.27,35.37
2024-01-25T11:19:04,386.12,30.53
2024-01-25T11:20:26,447.5,35.22
2024-01-25T11:21:50,365.04,34.8
2024-01-25T11:23:12,344.99,32.92
2024-01-25T11:24:33,386.0,32.39
2024-01-25T11:25:54,430.12,32.91
2024-01-25T11:27:15,412.5,33.01
2024-01-25T11:28:36,435.46,31.31
2024-01-25T11:29:56,437.72,32.47
2024-01-25T11:31:18,421.13,33.57
2024-01-25T11:32:42,367.64,33.72
2024-01-25T11:34:03,390.85,34.43
2024-01-25T11:35:26,361.88,33.34
2024-01-25T11:36:47,382.93,34.02
2024-01-25T11:38:08,455.34,32.54
2024-01-25T11:39:30,333.94,33.12
2024-01-25T11:40:51,443.37,34.52
2024-01-25T11:42:13,381.95,34.43
2024-01-25T11:43:35,403.42,34.89
2024-01-25T11:44:56,401.0,35.3
2024-01-25T11:46:19,325.58,33.16
2024-01-25T11:47:41,388.1,35.23
2024-01-25T11:49:02,415.87,34.95
2024-01-25T11:50:23,452.01,33.59
2024-01-25T11:51:46,328.62,34.53
2024-01-25T11:53:07,464.91,34.9
2024-01-25T11:54:28,386.37,34.06
2024-01-25T11:55:50,366.58,34.58
2024-01-25T11:57:13,371.06,34.44
2024-01-25T11:58:33,447.52,32.68
2024-01-25T11:59:54,376.44,33.38
2024-01-25T12:01:16,354.49,32.93
2024-01-25T12:02:40,339.65,33.54
2024-01-25T12:04:00,466.2,33.14
2024-01-25T12:05:22,350.15,33.39
2024-01-25T12:06:43,433.07,32.48
2024-01-25T12:08:04,449.27,34.53
2024-01-25T12:09:27,317.0,33.63
2024-01-25T12:10:47,445.38,35.04
2024-01-25T12:12:09,376.92,34.58
2024-01-25T12:29:14,358.44,33.78
2024-01-25T12:30:36,372.55,35.0
2024-01-25T12:31:58,394.0,33.19
2024-01-25T12:33:21,390.38,32.4
2024-01-25T12:34:43,400.38,32.84
2024-01-25T12:36:06,363.07,34.64
2024-01-25T12:37:28,432.36,34.22
2024-01-25T12:38:50,414.07,33.73
2024-01-25T12:40:10,456.54,33.04
2024-01-25T12:41:31,425.83,32.06
2024-01-25T12:42:54,370.29,32.78
2024-01-25T12:44:17,359.68,32.18
2024-01-25T12:53:58,365.1,35.33
2024-01-25T12:55:19,436.25,35.42
2024-01-25T12:56:42,389.84,34.93
2024-01-25T12:58:06,329.66,34.18
2024-01-25T12:59:26,426.92,35.0
2024-01-25T13:08:46,393.39,35.48
2024-01-25T13:10:09,364.13,34.83
2024-01-25T13:13:54,416.8,34.89
2024-01-25T13:15:16,451.33,34.4
2024-01-25T13:16:39,459.27,34.09
2024-01-25T13:17:59,440.41,34.52
2024-01-25T13:19:20,470.01,32.63
2024-01-25T13:20:45,332.68,33.28
2024-01-25T13:22:08,351.42,34.3
2024-01-25T13:23:32,335.97,33.09
2024-01-25T13:24:54,414.95,34.23
2024-01-25T13:26:15,423.01,34.9
2024-01-25T13:27:36,466.83,34.67
2024-01-25T13:28:59,325.76,35.09
2024-01-25T13:30:20,450.64,34.58
2024-01-25T13:31:42,362.09,34.81
2024-01-25T13:33:06,324.91,34.59
2024-01-25T13:34:29,329.07,34.43
2024-01-25T13:35:52,343.25,34.99
2024-01-25T13:37:15,322.96,35.06
2024-01-25T13:38:37,401.34,34.79
2024-01-25T13:39:58,444.04,35.45
2024-01-25T13:41:18,444.69,34.89
2024-01-25T13:42:40,411.96,35.05
2024-01-25T13:44:01,449.13,35.36
2024-01-25T13:45:22,411.94,34.99
2024-01-25T13:46:42,457.21,34.48
2024-01-25T13:48:04,374.91,35.33
2024-01-25T13:49:27,320.76,35.23
2024-01-25T13:50:49,376.02,34.18
2024-01-25T13:52:10,448.71,34.25
2024-01-25T13:53:32,425.21,35.06
2024-01-25T13:54:55,349.22,35.6
2024-01-25T13:56:17,366.99,34.89
2024-01-25T13:57:39,367.02,35.04
2024-01-25T13:59:00,455.44,35.25
2024-01-25T14:06:07,374.03,34.86
2024-01-25T14:07:30,391.88,34.93
2024-01-25T14:08:51,434.41,34.24
2024-01-25T14:10:12,435.35,34.23
2024-01-25T14:11:33,433.34,35.17
2024-01-25T14:12:56,270.45,34.5
2024-01-25T14:14:19,343.43,35.18
2024-01-25T14:15:40,388.46,34.88
2024-01-25T14:17:03,318.48,34.99
2024-01-25T14:18:25,414.38,34.72
2024-01-25T14:19:44,487.74,34.49
2024-01-25T14:21:06,350.46,34.03
2024-01-25T14:22:29,328.67,34.6
2024-01-25T14:23:49,427.3,34.52
2024-01-25T14:25:13,326.64,34.66
2024-01-25T14:26:36,295.57,34.65
2024-01-25T14:27:58,446.86,34.02
2024-01-25T14:29:18,387.4,33.5
2024-01-25T14:30:40,373.23,34.22
2024-01-25T14:32:04,168.21,34.08
2024-01-25T14:33:24,452.01,34.75
2024-01-25T14:34:46,394.9,34.94
2024-01-25T14:36:07,399.29,34.9
2024-01-25T14:37:25,479.07,34.68
2024-01-25T14:38:46,489.48,35.31
2024-01-25T14:40:10,423.96,34.89
2024-01-25T14:41:30,481.2,34.23
2024-01-25T14:42:52,321.15,34.36
2024-01-25T14:44:14,407.93,33.43
2024-01-25T14:45:36,421.8,34.84
2024-01-25T14:46:59,445.1,34.95
2024-01-25T14:48:24,357.19,35.38
2024-01-25T14:49:47,359.59,34.56
2024-01-25T14:51:09,401.55,35.77
2024-01-25T14:52:30,444.42,35.63
2024-01-25T14:53:53,466.11,34.94
2024-01-25T14:55:20,325.26,35.41
2024-01-25T14:56:41,456.69,34.73
2024-01-25T14:58:02,443.15,35.05
2024-01-25T14:59:25,356.48,35.26
2024-01-25T15:00:48,322.54,35.0
2024-01-25T15:02:10,384.08,35.75
2024-01-25T15:03:31,383.3,35.32
2024-01-25T15:04:52,466.43,35.26
2024-01-25T15:06:13,413.91,35.33
2024-01-25T15:07:33,451.94,35.29
2024-01-25T15:08:54,493.27,35.51
2024-01-25T15:10:15,435.46,34.83
2024-01-25T15:11:37,359.9,35.82
2024-01-25T15:12:58,448.29,34.3
2024-01-25T15:14:18,426.16,35.11
2024-01-25T15:15:40,352.66,34.52
2024-01-25T15:17:01,390.54,35.06
2024-01-25T15:18:22,369.62,35.58
2024-01-25T15:19:44,394.16,35.74
2024-01-25T15:21:05,385.03,35.32
2024-01-25T15:22:28,344.19,34.98
2024-01-25T15:23:48,450.94,35.78
2024-01-25T15:25:10,379.38,34.56
2024-01-25T15:26:33,337.97,34.69
2024-01-25T15:27:54,419.82,33.99
2024-01-25T15:29:15,375.84,32.77
2024-01-25T15:30:37,356.72,35.2
2024-01-25T15:31:58,441.79,35.45
2024-01-25T15:33:19,424.86,34.11
2024-01-25T15:34:40,395.4,35.34
2024-01-25T15:36:02,402.78,34.86
2024-01-25T15:37:23,405.75,35.45
2024-01-25T15:38:43,437.87,34.32
2024-01-25T15:40:05,366.48,32.52
2024-01-25T15:41:28,343.35,33.52
2024-01-25T15:42:50,409.26,33.41
2024-01-25T15:44:11,416.77,35.42
2024-01-25T15:45:33,378.94,35.41
2024-01-25T15:46:54,396.56,35.23
2024-01-25T15:48:17,169.43,34.95
2024-01-25T15:49:41,327.28,34.86
2024-01-25T15:51:03,322.4,35.39
2024-01-25T15:52:26,341.34,33.98
2024-01-25T15:53:46,446.94,35.46
2024-01-25T15:55:08,373.7,35.57
2024-01-25T15:56:31,344.34,34.58
2024-01-25T15:57:52,402.56,35.42
2024-01-25T15:59:14,400.09,35.53
2024-01-25T16:01:45,399.94,35.41
2024-01-25T16:03:05,392.15,35.75
2024-01-25T16:04:27,356.35,35.4
2024-01-25T16:05:47,458.3,34.97
2024-01-25T16:07:08,377.25,35.07
2024-01-25T16:08:31,321.98,35.24
2024-01-25T16:09:52,430.49,35.04
2024-01-25T16:11:13,415.93,34.8
2024-01-25T16:12:33,390.27,35.11
2024-01-25T16:13:56,369.63,34.65
2024-01-25T16:15:17,392.05,35.21
2024-01-25T16:16:38,401.97,35.63
2024-01-25T16:17:59,437.27,35.21
2024-01-25T16:19:20,402.09,35.46
2024-01-25T16:20:43,354.65,34.69
2024-01-25T16:22:05,383.72,32.71
2024-01-25T16:23:27,379.55,34.24
2024-01-25T16:24:48,427.92,35.55
2024-01-25T16:26:09,411.84,34.58
2024-01-25T16:27:32,320.59,35.58
2024-01-25T16:28:52,419.72,34.47
2024-01-25T16:30:12,429.06,34.72
2024-01-25T16:31:34,392.19,35.49
2024-01-25T16:32:57,366.3,34.64
2024-01-25T16:34:18,409.8,34.54
2024-01-25T16:35:39,409.54,35.69
2024-01-25T16:36:59,424.85,34.88
2024-01-25T16:38:23,341.55,34.51
2024-01-25T16:39:43,434.27,35.22
2024-01-25T16:41:05,357.64,34.91
2024-01-25T16:42:26,405.56,35.52
2024-01-25T16:43:49,321.24,34.26
2024-01-25T16:45:09,493.69,34.3
2024-01-25T16:46:29,407.97,35.22
2024-01-25T16:47:52,376.46,35.17
2024-01-25T16:49:12,448.25,34.42
2024-01-25T16:50:33,410.66,35.65
2024-01-25T16:51:55,403.6,35.46
2024-01-25T16:53:17,394.26,35.75
2024-01-25T16:54:38,435.57,35.6
2024-01-25T16:55:59,346.45,34.96
2024-01-25T16:57:20,391.5,35.29
2024-01-25T16:58:40,402.58,35.4
2024-01-25T17:00:02,352.47,35.56
2024-01-25T17:04:26,332.03,35.89
2024-01-25T17:05:48,426.68,35.68
2024-01-25T17:07:09,417.44,35.4
2024-01-26T10:50:23,398.67,34.97
2024-01-26T10:51:47,317.28,33.24
2024-01-26T10:53:08,381.04,34.53
2024-01-26T10:54:32,81.18,34.03
2024-01-26T10:55:53,484.79,35.5
2024-01-26T10:57:18,305.56,34.91
2024-01-26T10:58:39,409.7,35.03
2024-01-26T11:00:02,341.28,35.75
2024-01-26T11:02:42,343.54,35.74
2024-01-26T11:06:26,85.99,35.02
2024-01-26T11:07:50,346.9,35.48
2024-01-26T11:09:11,402.6,34.59
2024-01-26T11:10:32,415.02,35.36
2024-01-26T11:11:55,364.33,35.66
2024-01-26T11:13:18,88.59,34.12
2024-01-26T11:14:40,396.74,35.32
2024-01-26T11:16:03,323.01,35.24
2024-01-26T11:17:28,315.62,32.66
2024-01-26T11:18:53,294.35,32.95
2024-01-26T11:20:17,411.05,34.87
2024-01-26T11:21:39,437.04,33.53
2024-01-26T11:23:04,296.51,34.83
2024-01-26T11:24:29,312.58,34.69
2024-01-26T11:25:52,315.84,34.88
2024-01-26T11:27:15,335.43,34.33
2024-01-26T11:28:37,418.61,35.06
2024-01-26T11:30:01,359.85,32.07
2024-01-26T11:31:26,339.99,33.59
2024-01-26T11:32:49,312.91,34.91
2024-01-26T11:34:14,326.1,31.52
2024-01-26T11:35:39,312.84,32.71
2024-01-26T11:37:02,419.86,31.1
2024-01-26T11:38:25,327.07,33.52
2024-01-26T11:39:48,354.78,35.76
2024-01-26T11:41:11,336.31,34.88
2024-01-26T11:42:34,398.34,34.74
2024-01-26T11:43:54,450.04,34.26
2024-01-26T11:45:17,407.03,35.44
2024-01-26T11:46:43,294.56,33.67
2024-01-26T11:48:08,316.99,34.28
2024-01-26T11:49:34,289.29,33.85
2024-01-26T11:50:59,296.29,32.69
2024-01-26T11:52:24,182.52,33.35
2024-01-26T11:53:44,477.68,34.27
2024-01-26T11:55:07,340.13,34.03
2024-01-26T11:56:30,324.55,34.59
2024-01-26T11:57:52,393.99,35.54
2024-01-26T11:59:15,354.48,35.12
2024-01-26T12:00:38,324.18,35.03
2024-01-26T12:02:00,399.42,35.59
2024-01-26T12:03:23,418.73,33.41
2024-01-26T12:04:48,300.37,35.08
2024-01-26T12:06:12,342.66,34.65
2024-01-26T12:07:33,433.48,35.61
2024-01-26T12:09:00,264.68,34.77
2024-01-26T12:10:26,268.65,34.09
2024-01-26T12:11:51,294.43,34.33
2024-01-26T12:13:14,333.45,35.37
2024-01-26T12:14:38,324.65,34.72
2024-01-26T12:16:03,287.11,34.18
2024-01-26T12:17:28,275.66,34.93
2024-01-26T12:18:49,434.14,35.89
2024-01-26T12:20:14,310.2,33.1
2024-01-26T12:21:37,434.2,31.39
2024-01-26T12:22:58,437.66,35.03
2024-01-26T12:24:18,440.95,35.45
2024-01-26T12:25:39,439.85,34.95
2024-01-26T12:26:59,458.02,34.86
2024-01-26T12:28:20,436.34,35.63
2024-01-26T12:29:41,485.4,35.18
2024-01-26T12:31:06,323.42,32.13
2024-01-26T12:32:31,313.34,34.77
2024-01-26T12:33:57,254.98,34.14
2024-01-26T12:35:17,497.93,35.32
2024-01-26T12:36:37,447.99,33.24
2024-01-26T12:38:02,299.27,34.64
2024-01-26T12:39:22,446.61,34.35
2024-01-26T12:40:44,355.24,33.61
2024-01-26T12:42:09,304.88,32.86
2024-01-26T12:43:34,322.16,32.4
2024-01-26T12:44:57,396.16,34.22
2024-01-26T12:46:22,288.42,32.6
2024-01-26T12:47:48,298.81,34.04
2024-01-26T12:49:09,426.88,35.55
2024-01-26T12:50:31,378.88,35.64
2024-01-26T12:51:52,438.56,35.61
2024-01-26T12:53:18,269.49,32.78
2024-01-26T12:54:38,480.97,34.81
2024-01-26T12:55:59,438.14,35.26
2024-01-26T12:57:25,299.27,33.01
