Timestamp,Download (Mbps),Upload (Mbps)
2024-01-25T10:22:21,429.27,35.22
2024-01-25T10:23:03,324.82,34.9
2024-01-25T10:23:45,458.46,34.69
2024-01-25T10:24:29,360.55,33.74
2024-01-25T10:25:13,72.81,35.11
2024-01-25T10:25:53,423.47,35.21
2024-01-25T10:26:32,447.11,35.42
2024-01-25T10:27:13,449.95,34.6
2024-01-25T10:27:55,430.1,35.05
2024-01-25T10:28:34,491.48,32.78
2024-01-25T10:29:14,426.56,33.17
2024-01-25T10:29:55,394.56,32.6
2024-01-25T10:30:38,364.48,32.72
2024-01-25T10:31:18,479.53,32.94
2024-01-25T10:32:01,347.02,32.08
2024-01-25T10:32:43,86.07,33.05
2024-01-25T10:33:24,408.83,32.53
2024-01-25T10:34:08,85.71,34.28
2024-01-25T10:34:51,285.06,35.53
2024-01-25T10:35:36,101.28,35.49
2024-01-25T10:36:16,445.81,34.66
2024-01-25T10:36:59,433.64,34.59
2024-01-25T10:37:40,405.72,34.91
2024-01-25T10:38:23,351.62,33.9
2024-01-25T10:39:04,464.98,33.86
2024-01-25T10:39:46,349.53,34.6
2024-01-25T10:40:29,86.57,35.06
2024-01-25T10:41:09,432.48,33.63
2024-01-25T10:41:52,446.37,33.09
2024-01-25T10:42:34,74.22,34.36
2024-01-25T10:43:15,422.87,33.12
2024-01-25T10:43:56,448.73,34.39
2024-01-25T10:44:36,375.27,34.05
2024-01-25T10:45:21,327.4,32.39
2024-01-25T10:46:02,477.03,34.24
2024-01-25T10:46:45,72.46,34.89
2024-01-25T10:47:26,421.92,35.2
2024-01-25T10:48:07,358.78,35.61
2024-01-25T10:48:52,74.02,34.52
2024-01-25T10:49:35,411.3,35.55
2024-01-25T10:50:18,423.36,35.04
2024-01-25T10:51:00,437.93,35.58
2024-01-25T10:51:43,405.03,35.44
2024-01-25T10:52:27,71.91,35.65
2024-01-25T10:53:07,421.5,35.11
2024-01-25T10:53:49,387.08,34.76
2024-01-25T10:54:33,77.88,35.78
2024-01-25T10:55:12,469.52,35.51
2024-01-25T10:55:55,94.76,35.22
2024-01-25T10:56:35,422.37,35.66
2024-01-25T10:57:17,388.63,34.75
2024-01-25T10:57:59,432.83,33.28
2024-01-25T10:58:42,432.54,33.32
2024-01-25T10:59:27,324.4,32.45
2024-01-25T11:00:08,439.34,35.6
2024-01-25T11:00:42,471.27,35.55
2024-01-25T11:16:09,347.31,34.19
2024-01-25T11:18:43,464.39,34.38
2024-01-25T11:20:05,374.06,35.07
2024-01-25T11:21:27,385.36,32.85
2024-01-25T11:22:48,407.38,34.75
2024-01-25T11:24:09,402.24,33.92
2024-01-25T11:25:30,448.34,34.36
2024-01-25T11:26:51,431.21,32.68
2024-01-25T11:28:13,355.67,33.8
2024-01-25T11:29:34,431.77,31.88
2024-01-25T11:30:56,378.9,32.56
2024-01-25T11:32:19,365.2,32.42
2024-01-25T11:33:40,402.21,32.7
2024-01-25T11:35:00,460.7,35.14
2024-01-25T11:36:23,295.83,31.88
2024-01-25T11:37:45,438.01,33.64
2024-01-25T11:39:06,413.38,34.39
2024-01-25T11:40:26,425.91,34.68
2024-01-25T11:41:50,318.64,35.33
2024-01-25T11:43:11,444.69,34.88
2024-01-25T11:44:33,364.2,34.08
2024-01-25T11:45:54,414.96,33.49
2024-01-25T11:47:14,492.36,32.23
2024-01-25T11:48:34,478.6,35.4
2024-01-25T11:49:55,421.11,34.12
2024-01-25T11:51:16,398.16,34.0
2024-01-25T11:52:38,461.21,34.99
2024-01-25T11:53:57,483.29,34.73
2024-01-25T11:55:18,402.07,33.23
2024-01-25T11:56:42,327.01,35.12
2024-01-25T11:58:06,331.15,33.24
2024-01-25T11:59:27,420.98,34.84
2024-01-25T12:00:50,326.08,32.45
2024-01-25T12:02:11,413.84,34.21
2024-01-25T12:03:33,403.09,35.12
2024-01-25T12:04:55,367.13,34.87
2024-01-25T12:06:15,469.57,34.94
2024-01-25T12:07:35,433.17,34.72
2024-01-25T12:08:59,353.58,33.89
2024-01-25T12:10:21,365.37,34.85
2024-01-25T12:11:41,443.89,33.02
2024-01-25T12:13:05,335.03,34.59
2024-01-25T12:28:52,378.78,34.66
2024-01-25T12:30:13,414.18,34.23
2024-01-25T12:31:35,435.01,33.01
2024-01-25T12:32:59,326.15,35.47
2024-01-25T12:34:21,337.54,32.56
2024-01-25T12:35:42,443.41,33.06
2024-01-25T12:37:03,474.85,33.16
2024-01-25T12:38:24,452.03,34.26
2024-01-25T12:39:46,375.12,34.37
2024-01-25T12:41:08,377.48,34.45
2024-01-25T12:42:29,422.0,35.06
2024-01-25T12:43:51,408.56,34.19
2024-01-25T12:45:12,444.45,33.62
2024-01-25T12:53:36,421.11,34.62
2024-01-25T12:54:58,398.54,35.54
2024-01-25T12:56:19,406.26,34.58
2024-01-25T12:57:42,368.29,34.64
2024-01-25T12:59:04,365.54,34.47
2024-01-25T13:08:24,429.81,35.36
2024-01-25T13:09:46,418.42,35.58
2024-01-25T13:13:33,456.96,33.72
2024-01-25T13:14:55,372.8,35.1
2024-01-25T13:16:17,385.78,30.84
2024-01-25T13:17:38,478.18,33.48
2024-01-25T13:18:59,402.04,34.8
2024-01-25T13:20:21,419.0,33.51
2024-01-25T13:21:43,405.72,34.55
2024-01-25T13:23:05,427.96,34.11
2024-01-25T13:24:28,324.18,35.07
2024-01-25T13:25:49,444.02,35.17
2024-01-25T13:27:10,426.12,35.03
2024-01-25T13:28:31,476.34,35.32
2024-01-25T13:29:54,343.56,35.21
2024-01-25T13:31:16,413.28,33.09
2024-01-25T13:32:37,485.27,34.77
2024-01-25T13:34:00,344.56,34.7
2024-01-25T13:35:22,367.96,35.28
2024-01-25T13:36:43,460.74,34.72
2024-01-25T13:38:05,418.93,35.08
2024-01-25T13:39:28,361.12,35.45
2024-01-25T13:40:48,470.99,35.72
2024-01-25T13:42:11,360.5,33.7
2024-01-25T13:43:34,356.07,34.66
2024-01-25T13:44:55,492.08,35.32
2024-01-25T13:46:16,422.7,34.25
2024-01-25T13:47:37,413.15,35.29
2024-01-25T13:49:00,373.01,34.65
2024-01-25T13:50:23,250.84,34.79
2024-01-25T13:51:45,423.53,35.1
2024-01-25T13:53:08,375.61,35.22
2024-01-25T13:54:28,430.38,35.27
2024-01-25T13:55:52,345.4,34.95
2024-01-25T13:57:14,358.63,35.2
2024-01-25T13:58:36,417.78,35.56
2024-01-25T13:59:59,340.24,35.57
2024-01-25T14:01:21,405.48,35.43
2024-01-25T14:05:44,386.59,34.41
2024-01-25T14:07:05,424.85,32.87
2024-01-25T14:08:29,325.39,34.72
2024-01-25T14:09:49,459.57,34.69
2024-01-25T14:11:09,449.28,34.92
2024-01-25T14:12:30,424.48,33.09
2024-01-25T14:13:50,455.94,33.81
2024-01-25T14:15:12,397.78,34.69
2024-01-25T14:16:35,301.64,34.78
2024-01-25T14:17:57,404.11,34.8
2024-01-25T14:19:19,293.75,34.72
2024-01-25T14:20:40,372.05,34.67
2024-01-25T14:22:03,444.74,35.05
2024-01-25T14:23:25,320.86,34.86
2024-01-25T14:24:47,410.01,33.18
2024-01-25T14:26:07,444.72,33.88
2024-01-25T14:27:29,345.14,34.46
2024-01-25T14:28:51,337.28,34.66
2024-01-25T14:30:13,402.88,34.63
2024-01-25T14:31:37,318.66,35.05
2024-01-25T14:32:59,417.57,34.84
2024-01-25T14:34:21,402.88,34.58
2024-01-25T14:35:44,394.25,34.62
2024-01-25T14:37:04,426.8,34.31
2024-01-25T14:38:26,417.87,34.21
2024-01-25T14:39:48,357.98,34.56
2024-01-25T14:41:09,463.57,34.7
2024-01-25T14:42:29,396.7,34.08
2024-01-25T14:43:52,326.51,34.01
2024-01-25T14:45:15,321.7,35.08
2024-01-25T14:46:38,389.51,35.32
2024-01-25T14:48:01,368.91,35.26
2024-01-25T14:49:23,395.77,34.81
2024-01-25T14:50:46,342.16,35.25
2024-01-25T14:52:08,351.2,35.08
2024-01-25T14:53:32,355.22,35.54
2024-01-25T14:54:56,323.06,34.88
2024-01-25T14:56:17,407.77,34.12
2024-01-25T14:57:39,417.96,34.89
2024-01-25T14:59:00,415.06,35.11
2024-01-25T15:01:21,479.98,35.47
2024-01-25T15:02:41,451.51,35.17
2024-01-25T15:04:05,346.15,35.62
2024-01-25T15:05:26,436.68,35.67
2024-01-25T15:06:48,441.53,34.55
2024-01-25T15:08:09,411.5,35.56
2024-01-25T15:09:32,336.73,34.96
2024-01-25T15:10:55,382.63,35.54
2024-01-25T15:12:18,333.11,35.41
2024-01-25T15:13:41,315.16,33.66
2024-01-25T15:15:02,361.14,35.63
2024-01-25T15:16:26,315.87,35.15
2024-01-25T15:17:49,148.98,35.56
2024-01-25T15:19:10,387.9,35.75
2024-01-25T15:20:33,312.45,34.5
2024-01-25T15:21:54,416.57,34.91
2024-01-25T15:23:17,350.8,34.86
2024-01-25T15:24:38,399.79,34.66
2024-01-25T15:26:01,330.22,31.3
2024-01-25T15:27:23,385.54,35.32
2024-01-25T15:28:46,304.32,34.7
2024-01-25T15:30:08,367.62,33.91
2024-01-25T15:31:30,350.94,35.46
2024-01-25T15:32:52,360.35,35.47
2024-01-25T15:34:13,411.16,35.28
2024-01-25T15:35:33,446.6,35.74
2024-01-25T15:36:52,454.49,32.9
2024-01-25T15:38:14,398.54,35.32
2024-01-25T15:39:36,402.05,34.33
2024-01-25T15:40:59,342.55,34.52
2024-01-25T15:42:21,359.17,35.11
2024-01-25T15:43:42,396.05,35.46
2024-01-25T15:45:04,380.79,34.6
2024-01-25T15:46:24,466.84,34.57
2024-01-25T15:47:45,426.06,35.17
2024-01-25T15:49:08,362.06,34.99
2024-01-25T15:50:30,343.57,35.48
2024-01-25T15:51:51,417.0,34.77
2024-01-25T15:53:12,452.85,34.78
2024-01-25T15:54:33,437.39,35.36
2024-01-25T15:55:54,392.5,35.56
2024-01-25T15:57:16,362.47,35.41
2024-01-25T15:58:38,368.39,35.02
2024-01-25T16:00:00,416.18,34.42
2024-01-25T16:01:23,319.46,35.32
2024-01-25T16:02:42,488.39,35.19
2024-01-25T16:04:02,457.44,35.18
2024-01-25T16:05:23,422.2,35.58
2024-01-25T16:06:45,324.86,34.83
2024-01-25T16:08:07,384.79,35.22
2024-01-25T16:09:29,364.86,34.95
2024-01-25T16:10:49,411.08,34.99
2024-01-25T16:12:10,420.95,35.55
2024-01-25T16:13:33,354.14,35.35
2024-01-25T16:14:52,485.98,35.51
2024-01-25T16:16:13,397.91,34.91
2024-01-25T16:17:36,370.54,34.25
2024-01-25T16:18:57,431.06,35.29
2024-01-25T16:20:18,416.2,35.38
2024-01-25T16:21:39,416.23,35.33
2024-01-25T16:23:01,353.16,35.1
2024-01-25T16:24:21,439.12,35.64
2024-01-25T16:25:41,451.81,35.3
2024-01-25T16:27:04,314.82,35.52
2024-01-25T16:28:25,363.96,35.79
2024-01-25T16:29:47,330.74,35.32
2024-01-25T16:31:08,417.55,34.28
2024-01-25T16:32:29,419.86,35.28
2024-01-25T16:33:49,448.68,35.07
2024-01-25T16:35:12,312.23,34.2
2024-01-25T16:36:33,432.36,34.91
2024-01-25T16:37:53,418.86,34.71
2024-01-25T16:39:13,475.07,35.71
2024-01-25T16:40:35,385.98,34.86
2024-01-25T16:41:57,436.45,35.7
2024-01-25T16:43:17,426.97,35.63
2024-01-25T16:44:40,297.98,35.51
2024-01-25T16:46:01,387.17,34.89
2024-01-25T16:47:23,342.16,35.46
2024-01-25T16:48:45,381.35,34.31
2024-01-25T16:50:06,396.84,35.37
2024-01-25T16:51:28,430.33,35.22
2024-01-25T16:52:49,416.93,35.02
2024-01-25T16:54:09,427.24,35.45
2024-01-25T16:55:31,379.45,33.61
2024-01-25T16:56:52,411.11,35.01
2024-01-25T16:58:14,363.64,35.8
2024-01-25T16:59:36,318.42,35.14
2024-01-25T17:05:00,401.08,35.65
2024-01-25T17:06:23,338.68,35.61
2024-01-26T10:50:02,87.52,33.03
2024-01-26T10:51:23,383.08,32.34
2024-01-26T10:52:46,293.28,33.0
2024-01-26T10:54:09,82.23,34.99
2024-01-26T10:55:32,277.76,35.75
2024-01-26T10:56:54,373.59,35.74
2024-01-26T10:58:15,388.18,35.75
2024-01-26T10:59:39,300.69,35.49
2024-01-26T11:00:59,438.01,35.29
2024-01-26T11:02:18,487.11,34.57
2024-01-26T11:03:39,421.27,33.88
2024-01-26T11:06:03,324.78,35.1
2024-01-26T11:07:24,434.84,34.05
2024-01-26T11:08:48,300.98,35.43
2024-01-26T11:10:09,437.57,35.54
2024-01-26T11:11:31,347.16,34.36
